w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,8,16,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,16,2,2,2,1,1,1,1,float,8,IMPLICIT_GEMM,0.0
16,16,8,16,4,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,16,8,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,16,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,16,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,16,64,2,2,1,1,1,1,float,12,IMPLICIT_GEMM,0.0
16,16,16,1,1,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,16,1,2,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,1,4,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,1,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,1,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,1,32,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,1,64,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,2,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,2,2,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,2,4,2,2,1,1,1,1,float,13,GEMM,0.0
16,16,16,2,8,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,16,2,16,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,2,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,2,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,4,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,4,2,2,2,1,1,1,1,float,13,GEMM,0.0
16,16,16,4,4,2,2,1,1,1,1,float,13,GEMM,0.0
16,16,16,4,8,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,4,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,4,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,4,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,8,1,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,8,2,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,8,4,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,8,8,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,8,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,8,32,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,16,8,64,2,2,1,1,1,1,float,12,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,16,1,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,16,16,2,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,16,4,2,2,1,1,1,1,float,14,GEMM,0.0
16,16,16,16,8,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,16,16,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,16,16,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,16,16,64,2,2,1,1,1,1,float,16,IMPLICIT_GEMM,0.0
16,16,32,1,1,2,2,1,1,1,1,float,17,IMPLICIT_GEMM,0.0
16,16,32,1,2,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,1,4,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,1,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,1,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,1,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,1,64,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,2,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,2,2,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,32,2,4,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,2,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,2,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,2,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,2,64,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,4,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,4,2,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,4,4,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,4,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,4,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,4,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,32,4,64,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,8,1,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,8,2,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,32,8,4,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,32,8,8,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,32,8,16,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,32,8,32,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,32,8,64,2,2,1,1,1,1,float,16,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,16,1,2,2,1,1,1,1,float,12,IMPLICIT_GEMM,0.0
16,16,32,16,2,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,16,4,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,32,16,8,2,2,1,1,1,1,float,13,IMPLICIT_GEMM,0.0
16,16,32,16,16,2,2,1,1,1,1,float,14,IMPLICIT_GEMM,0.0
16,16,32,16,32,2,2,1,1,1,1,float,16,IMPLICIT_GEMM,0.0
16,16,32,16,64,2,2,1,1,1,1,float,26,IMPLICIT_GEMM,0.0
16,16,64,1,1,2,2,1,1,1,1,float,13,IMPLICIT_GEMM,0.0
16,16,64,1,2,2,2,1,1,1,1,float,13,IMPLICIT_GEMM,0.0
16,16,64,1,4,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,1,8,2,2,1,1,1,1,float,13,IMPLICIT_GEMM,0.0
16,16,64,1,16,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,1,32,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,1,64,2,2,1,1,1,1,float,13,IMPLICIT_PRECOMP_GEMM,0.0
16,16,64,2,1,2,2,1,1,1,1,float,25,FFT_TILING,0.0
16,16,64,2,2,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,2,4,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,2,8,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,2,16,2,2,1,1,1,1,float,31,IMPLICIT_GEMM,0.0
16,16,64,2,32,2,2,1,1,1,1,float,13,IMPLICIT_GEMM,0.0
16,16,64,2,64,2,2,1,1,1,1,float,14,IMPLICIT_GEMM,0.0
